Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      288     0.00     0.00  __gnu_cxx::__normal_iterator<GraphAlgo::Edge const*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >::base() const
  0.00      0.00     0.00      174     0.00     0.00  __gnu_cxx::__normal_iterator<GraphAlgo::Edge*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >::__normal_iterator(GraphAlgo::Edge* const&)
  0.00      0.00     0.00      174     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int, int> >::_M_ptr() const
  0.00      0.00     0.00      174     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int, int> >::_M_addr() const
  0.00      0.00     0.00      174     0.00     0.00  std::_Rb_tree_node<std::pair<int, int> >::_M_valptr() const
  0.00      0.00     0.00      174     0.00     0.00  std::less<std::pair<int, int> >::operator()(std::pair<int, int> const&, std::pair<int, int> const&) const
  0.00      0.00     0.00      174     0.00     0.00  std::_Identity<std::pair<int, int> >::operator()(std::pair<int, int> const&) const
  0.00      0.00     0.00      174     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_S_key(std::_Rb_tree_node<std::pair<int, int> > const*)
  0.00      0.00     0.00      174     0.00     0.00  bool std::operator< <int, int>(std::pair<int, int> const&, std::pair<int, int> const&)
  0.00      0.00     0.00      150     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  0.00      0.00     0.00      120     0.00     0.00  __gnu_cxx::__normal_iterator<GraphAlgo::Edge*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >::base() const
  0.00      0.00     0.00      118     0.00     0.00  __gnu_cxx::__normal_iterator<GraphAlgo::Edge const*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >::__normal_iterator(GraphAlgo::Edge const* const&)
  0.00      0.00     0.00      112     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<int, int> >::_Rb_tree_const_iterator(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00      107     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00      100     0.00     0.00  bool __gnu_cxx::operator!=<GraphAlgo::Edge const*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >(__gnu_cxx::__normal_iterator<GraphAlgo::Edge const*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > > const&, __gnu_cxx::__normal_iterator<GraphAlgo::Edge const*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > > const&)
  0.00      0.00     0.00       81     0.00     0.00  std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::end()
  0.00      0.00     0.00       80     0.00     0.00  __gnu_cxx::__normal_iterator<GraphAlgo::Edge const*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >::operator++()
  0.00      0.00     0.00       80     0.00     0.00  __gnu_cxx::__normal_iterator<GraphAlgo::Edge const*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >::operator*() const
  0.00      0.00     0.00       78     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::end() const
  0.00      0.00     0.00       75     0.00     0.00  std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::size() const
  0.00      0.00     0.00       72     0.00     0.00  std::vector<std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >, std::allocator<std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > > >::operator[](unsigned long)
  0.00      0.00     0.00       70     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.00     0.00       70     0.00     0.00  std::pair<int, int>&& std::forward<std::pair<int, int> >(std::remove_reference<std::pair<int, int> >::type&)
  0.00      0.00     0.00       68     0.00     0.00  std::operator==(std::_Rb_tree_const_iterator<std::pair<int, int> > const&, std::_Rb_tree_const_iterator<std::pair<int, int> > const&)
  0.00      0.00     0.00       65     0.00     0.00  GraphAlgo::Edge* std::__addressof<GraphAlgo::Edge>(GraphAlgo::Edge&)
  0.00      0.00     0.00       62     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.00     0.00       62     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      0.00     0.00       62     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      0.00     0.00       62     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  0.00      0.00     0.00       60     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      0.00     0.00       60     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00      0.00     0.00       60     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      0.00     0.00       60     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  0.00      0.00     0.00       60     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.00     0.00       55     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_S_left(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00       54     0.00     0.00  std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::end() const
  0.00      0.00     0.00       54     0.00     0.00  std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::begin() const
  0.00      0.00     0.00       50     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      0.00     0.00       49     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_S_right(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00       49     0.00     0.00  GraphAlgo::Edge* std::__niter_base<GraphAlgo::Edge*>(GraphAlgo::Edge*)
  0.00      0.00     0.00       49     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.00     0.00       47     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00       45     0.00     0.00  std::set<std::pair<int, int>, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::size() const
  0.00      0.00     0.00       45     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::size() const
  0.00      0.00     0.00       44     0.00     0.00  std::pair<int, int>::pair<int, int, true>(int const&, int const&)
  0.00      0.00     0.00       44     0.00     0.00  int const& std::max<int>(int const&, int const&)
  0.00      0.00     0.00       44     0.00     0.00  int const& std::min<int>(int const&, int const&)
  0.00      0.00     0.00       43     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.00     0.00       41     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00       40     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_get_Node_allocator()
  0.00      0.00     0.00       37     0.00     0.00  std::vector<std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >, std::allocator<std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > > >::operator[](unsigned long) const
  0.00      0.00     0.00       35     0.00     0.00  std::_Vector_base<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00       35     0.00     0.00  std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::begin()
  0.00      0.00     0.00       34     0.00     0.00  bool __gnu_cxx::operator==<GraphAlgo::Edge const*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >(__gnu_cxx::__normal_iterator<GraphAlgo::Edge const*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > > const&, __gnu_cxx::__normal_iterator<GraphAlgo::Edge const*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > > const&)
  0.00      0.00     0.00       34     0.00     0.00  std::set<std::pair<int, int>, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::count(std::pair<int, int> const&) const
  0.00      0.00     0.00       34     0.00     0.00  std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::empty() const
  0.00      0.00     0.00       34     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<int, int> > const*, std::_Rb_tree_node_base const*, std::pair<int, int> const&) const
  0.00      0.00     0.00       34     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::find(std::pair<int, int> const&) const
  0.00      0.00     0.00       34     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_end() const
  0.00      0.00     0.00       34     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_begin() const
  0.00      0.00     0.00       32     0.00     0.00  bool __gnu_cxx::operator!=<GraphAlgo::Edge*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >(__gnu_cxx::__normal_iterator<GraphAlgo::Edge*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > > const&, __gnu_cxx::__normal_iterator<GraphAlgo::Edge*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > > const&)
  0.00      0.00     0.00       32     0.00     0.00  GraphAlgo::Graph::getNeighbors(int) const
  0.00      0.00     0.00       30     0.00     0.00  __gnu_cxx::__normal_iterator<GraphAlgo::Edge*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >::operator*() const
  0.00      0.00     0.00       30     0.00     0.00  __gnu_cxx::__normal_iterator<GraphAlgo::Edge*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >::operator-(long) const
  0.00      0.00     0.00       30     0.00     0.00  std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::max_size() const
  0.00      0.00     0.00       30     0.00     0.00  std::_Vector_base<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       30     0.00     0.00  std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::_S_max_size(std::allocator<GraphAlgo::Edge> const&)
  0.00      0.00     0.00       30     0.00     0.00  std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::back()
  0.00      0.00     0.00       30     0.00     0.00  GraphAlgo::Edge&& std::forward<GraphAlgo::Edge>(std::remove_reference<GraphAlgo::Edge>::type&)
  0.00      0.00     0.00       28     0.00     0.00  GraphAlgo::Graph::getVertexCount() const
  0.00      0.00     0.00       28     0.00     0.00  __gnu_cxx::__normal_iterator<GraphAlgo::Edge*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >::operator+(long) const
  0.00      0.00     0.00       27     0.00     0.00  std::_Rb_tree_iterator<std::pair<int, int> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.00     0.00       24     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.00     0.00       23     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.00     0.00       22     0.00     0.00  __gnu_cxx::__normal_iterator<GraphAlgo::Edge*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >::operator->() const
  0.00      0.00     0.00       22     0.00     0.00  std::deque<int, std::allocator<int> >::empty() const
  0.00      0.00     0.00       22     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::empty() const
  0.00      0.00     0.00       22     0.00     0.00  std::deque<int, std::allocator<int> >::end()
